QID,POM-Struc-Total-Dist,POM-Struc-Cont-Dist,POM-Struc-Pres-Dist,POM-Histo-Abs-Dist,POM-Histo-Rel-Dist,POM-Histo-Cos-Dist,POM-Histo-EarthMov-Dist,POM-Content-Histo-Abs-Dist,POM-Content-Histo-Rel-Dist,POM-Content-Histo-Cos-Dist,POM-Content-Histo-EarthMov-Dist,SnuggleTeX-Struc-Total-Dist,SnuggleTeX-Struc-Cont-Dist,SnuggleTeX-Struc-Pres-Dist,SnuggleTeX-Histo-Abs-Dist,SnuggleTeX-Histo-Rel-Dist,SnuggleTeX-Histo-Cos-Dist,SnuggleTeX-Histo-EarthMov-Dist,SnuggleTeX-Content-Histo-Abs-Dist,SnuggleTeX-Content-Histo-Rel-Dist,SnuggleTeX-Content-Histo-Cos-Dist,SnuggleTeX-Content-Histo-EarthMov-Dist,LatexML-Struc-Total-Dist,LatexML-Struc-Cont-Dist,LatexML-Struc-Pres-Dist,LatexML-Histo-Abs-Dist,LatexML-Histo-Rel-Dist,LatexML-Histo-Cos-Dist,LatexML-Histo-EarthMov-Dist,LatexML-Content-Histo-Abs-Dist,LatexML-Content-Histo-Rel-Dist,LatexML-Content-Histo-Cos-Dist,LatexML-Content-Histo-EarthMov-Dist,Mathematical-Struc-Total-Dist,Mathematical-Struc-Cont-Dist,Mathematical-Struc-Pres-Dist,Mathematical-Histo-Abs-Dist,Mathematical-Histo-Rel-Dist,Mathematical-Histo-Cos-Dist,Mathematical-Histo-EarthMov-Dist,Mathematical-Content-Histo-Abs-Dist,Mathematical-Content-Histo-Rel-Dist,Mathematical-Content-Histo-Cos-Dist,Mathematical-Content-Histo-EarthMov-Dist,MathToWeb-Struc-Total-Dist,MathToWeb-Struc-Cont-Dist,MathToWeb-Struc-Pres-Dist,MathToWeb-Histo-Abs-Dist,MathToWeb-Histo-Rel-Dist,MathToWeb-Histo-Cos-Dist,MathToWeb-Histo-EarthMov-Dist,MathToWeb-Content-Histo-Abs-Dist,MathToWeb-Content-Histo-Rel-Dist,MathToWeb-Content-Histo-Cos-Dist,MathToWeb-Content-Histo-EarthMov-Dist,Latex2MML-Struc-Total-Dist,Latex2MML-Struc-Cont-Dist,Latex2MML-Struc-Pres-Dist,Latex2MML-Histo-Abs-Dist,Latex2MML-Histo-Rel-Dist,Latex2MML-Histo-Cos-Dist,Latex2MML-Histo-EarthMov-Dist,Latex2MML-Content-Histo-Abs-Dist,Latex2MML-Content-Histo-Rel-Dist,Latex2MML-Content-Histo-Cos-Dist,Latex2MML-Content-Histo-EarthMov-Dist,TeXZilla-Struc-Total-Dist,TeXZilla-Struc-Cont-Dist,TeXZilla-Struc-Pres-Dist,TeXZilla-Histo-Abs-Dist,TeXZilla-Histo-Rel-Dist,TeXZilla-Histo-Cos-Dist,TeXZilla-Histo-EarthMov-Dist,TeXZilla-Content-Histo-Abs-Dist,TeXZilla-Content-Histo-Rel-Dist,TeXZilla-Content-Histo-Cos-Dist,TeXZilla-Content-Histo-EarthMov-Dist,Mathoid-Struc-Total-Dist,Mathoid-Struc-Cont-Dist,Mathoid-Struc-Pres-Dist,Mathoid-Histo-Abs-Dist,Mathoid-Histo-Rel-Dist,Mathoid-Histo-Cos-Dist,Mathoid-Histo-EarthMov-Dist,Mathoid-Content-Histo-Abs-Dist,Mathoid-Content-Histo-Rel-Dist,Mathoid-Content-Histo-Cos-Dist,Mathoid-Content-Histo-EarthMov-Dist,Mathematica-Struc-Total-Dist,Mathematica-Struc-Cont-Dist,Mathematica-Struc-Pres-Dist,Mathematica-Histo-Abs-Dist,Mathematica-Histo-Rel-Dist,Mathematica-Histo-Cos-Dist,Mathematica-Histo-EarthMov-Dist,Mathematica-Content-Histo-Abs-Dist,Mathematica-Content-Histo-Rel-Dist,Mathematica-Content-Histo-Cos-Dist,Mathematica-Content-Histo-EarthMov-Dist
1,49.0,,24.0,,,,,,,,,39.0,,13.0,,,,,,,,,19.0,16.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,30.0,,5.0,,,,,,,,,31.0,,5.0,,,,,,,,,33.0,,7.0,,,,,,,,,30.0,,5.0,,,,,,,,,30.0,,5.0,,,,,,,,,23.0,15.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
2,18.0,,8.0,,,,,,,,,18.0,,8.0,,,,,,,,,9.0,7.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,0.0,,,,,,,,,11.0,,1.0,,,,,,,,,12.0,,2.0,,,,,,,,,9.0,,0.0,,,,,,,,,11.0,,2.0,,,,,,,,,,,,,,,,,,,
3,28.0,,13.0,,,,,,,,,24.0,,9.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,20.0,,6.0,,,,,,,,,20.0,,5.0,,,,,,,,,22.0,,7.0,,,,,,,,,19.0,,5.0,,,,,,,,,19.0,,6.0,,,,,,,,,13.0,6.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
4,46.0,,21.0,,,,,,,,,36.0,,11.0,,,,,,,,,16.0,13.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,29.0,,5.0,,,,,,,,,30.0,,5.0,,,,,,,,,30.0,,5.0,,,,,,,,,29.0,,5.0,,,,,,,,,25.0,,2.0,,,,,,,,,28.0,14.0,12.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
5,98.0,,58.0,,,,,,,,,84.0,,44.0,,,,,,,,,62.0,38.0,22.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,73.0,,34.0,,,,,,,,,73.0,,33.0,,,,,,,,,75.0,,35.0,,,,,,,,,73.0,,34.0,,,,,,,,,64.0,,25.0,,,,,,,,,74.0,40.0,32.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
6,18.0,,10.0,,,,,,,,,17.0,,9.0,,,,,,,,,8.0,5.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,9.0,,3.0,,,,,,,,,8.0,,1.0,,,,,,,,,7.0,4.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
7,18.0,,10.0,,,,,,,,,17.0,,9.0,,,,,,,,,8.0,5.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,9.0,,3.0,,,,,,,,,8.0,,1.0,,,,,,,,,7.0,4.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
8,18.0,,10.0,,,,,,,,,17.0,,9.0,,,,,,,,,8.0,5.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,9.0,,3.0,,,,,,,,,8.0,,1.0,,,,,,,,,7.0,4.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
9,366.0,,182.0,,,,,,,,,255.0,,55.0,,,,,,,,,53.0,51.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,230.0,,31.0,,,,,,,,,240.0,,40.0,,,,,,,,,,,,,,,,,,,,225.0,,26.0,,,,,,,,,263.0,,64.0,,,,,,,,,,,,,,,,,,,
10,27.0,,13.0,,,,,,,,,22.0,,8.0,,,,,,,,,15.0,8.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,19.0,,6.0,,,,,,,,,21.0,,7.0,,,,,,,,,21.0,,7.0,,,,,,,,,19.0,,6.0,,,,,,,,,20.0,,7.0,,,,,,,,,16.0,8.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
11,68.0,,53.0,,,,,,,,,52.0,,39.0,,,,,,,,,84.0,41.0,41.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,56.0,,38.0,,,,,,,,,53.0,,39.0,,,,,,,,,56.0,,42.0,,,,,,,,,55.0,,39.0,,,,,,,,,55.0,,44.0,,,,,,,,,,,,,,,,,,,
12,30.0,,14.0,,,,,,,,,22.0,,5.0,,,,,,,,,13.0,9.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,19.0,,3.0,,,,,,,,,24.0,,7.0,,,,,,,,,22.0,,5.0,,,,,,,,,19.0,,3.0,,,,,,,,,22.0,,6.0,,,,,,,,,15.0,8.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
13,24.0,,13.0,,,,,,,,,21.0,,10.0,,,,,,,,,11.0,8.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,14.0,,4.0,,,,,,,,,14.0,,3.0,,,,,,,,,18.0,,7.0,,,,,,,,,15.0,,5.0,,,,,,,,,14.0,,4.0,,,,,,,,,14.0,8.0,4.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
14,18.0,,10.0,,,,,,,,,17.0,,9.0,,,,,,,,,8.0,5.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,3.0,,,,,,,,,12.0,,4.0,,,,,,,,,11.0,,3.0,,,,,,,,,9.0,,3.0,,,,,,,,,8.0,,1.0,,,,,,,,,7.0,4.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
15,30.0,,14.0,,,,,,,,,22.0,,5.0,,,,,,,,,10.0,8.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,20.0,,4.0,,,,,,,,,21.0,,4.0,,,,,,,,,22.0,,5.0,,,,,,,,,19.0,,3.0,,,,,,,,,18.0,,3.0,,,,,,,,,19.0,11.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
16,14.0,,6.0,,,,,,,,,9.0,,1.0,,,,,,,,,7.0,5.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,7.0,,1.0,,,,,,,,,9.0,,1.0,,,,,,,,,10.0,,2.0,,,,,,,,,6.0,,0.0,,,,,,,,,9.0,,2.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
17,13.0,,6.0,,,,,,,,,10.0,,2.0,,,,,,,,,5.0,3.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,10.0,,3.0,,,,,,,,,11.0,,3.0,,,,,,,,,13.0,,5.0,,,,,,,,,9.0,,2.0,,,,,,,,,10.0,,3.0,,,,,,,,,7.0,4.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
18,22.0,,10.0,,,,,,,,,15.0,,3.0,,,,,,,,,5.0,3.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,13.0,,3.0,,,,,,,,,15.0,,3.0,,,,,,,,,15.0,,3.0,,,,,,,,,12.0,,2.0,,,,,,,,,10.0,,0.0,,,,,,,,,14.0,6.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
19,72.0,,31.0,,,,,,,,,49.0,,8.0,,,,,,,,,14.0,12.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,48.0,,8.0,,,,,,,,,50.0,,9.0,,,,,,,,,52.0,,11.0,,,,,,,,,47.0,,7.0,,,,,,,,,52.0,,12.0,,,,,,,,,34.0,26.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
20,14.0,,5.0,,,,,,,,,12.0,,3.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,1.0,,,,,,,,,12.0,,3.0,,,,,,,,,13.0,,4.0,,,,,,,,,8.0,,0.0,,,,,,,,,8.0,,0.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
21,14.0,,5.0,,,,,,,,,12.0,,3.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,1.0,,,,,,,,,12.0,,3.0,,,,,,,,,13.0,,4.0,,,,,,,,,8.0,,0.0,,,,,,,,,8.0,,0.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
22,74.0,,37.0,,,,,,,,,62.0,,25.0,,,,,,,,,21.0,15.0,4.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,48.0,,12.0,,,,,,,,,47.0,,10.0,,,,,,,,,57.0,,20.0,,,,,,,,,47.0,,11.0,,,,,,,,,64.0,,28.0,,,,,,,,,35.0,30.0,3.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
23,103.0,,52.0,,,,,,,,,82.0,,31.0,,,,,,,,,31.0,26.0,3.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,67.0,,17.0,,,,,,,,,66.0,,15.0,,,,,,,,,69.0,,18.0,,,,,,,,,66.0,,16.0,,,,,,,,,60.0,,10.0,,,,,,,,,,,,,,,,,,,
24,44.0,,17.0,,,,,,,,,41.0,,18.0,,,,,,,,,13.0,9.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,30.0,,3.0,,,,,,,,,32.0,,4.0,,,,,,,,,41.0,,17.0,,,,,,,,,29.0,,2.0,,,,,,,,,31.0,,4.0,,,,,,,,,,,,,,,,,,,
25,36.0,,21.0,,,,,,,,,32.0,,17.0,,,,,,,,,14.0,10.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,22.0,,8.0,,,,,,,,,23.0,,8.0,,,,,,,,,22.0,,7.0,,,,,,,,,22.0,,8.0,,,,,,,,,16.0,,2.0,,,,,,,,,12.0,8.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
26,39.0,,24.0,,,,,,,,,33.0,,18.0,,,,,,,,,14.0,10.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,20.0,,6.0,,,,,,,,,22.0,,7.0,,,,,,,,,24.0,,9.0,,,,,,,,,20.0,,6.0,,,,,,,,,15.0,,1.0,,,,,,,,,12.0,8.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
27,20.0,,7.0,,,,,,,,,15.0,,2.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,12.0,,0.0,,,,,,,,,14.0,,1.0,,,,,,,,,16.0,,3.0,,,,,,,,,12.0,,0.0,,,,,,,,,13.0,,1.0,,,,,,,,,14.0,11.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
28,88.0,,42.0,,,,,,,,,67.0,,21.0,,,,,,,,,16.0,13.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,57.0,,12.0,,,,,,,,,61.0,,15.0,,,,,,,,,59.0,,13.0,,,,,,,,,56.0,,11.0,,,,,,,,,55.0,,10.0,,,,,,,,,63.0,30.0,31.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
29,61.0,,28.0,,,,,,,,,53.0,,20.0,,,,,,,,,11.0,8.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,37.0,,5.0,,,,,,,,,40.0,,7.0,,,,,,,,,56.0,,23.0,,,,,,,,,37.0,,5.0,,,,,,,,,39.0,,7.0,,,,,,,,,57.0,25.0,30.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
30,58.0,,27.0,,,,,,,,,45.0,,13.0,,,,,,,,,14.0,10.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,42.0,,11.0,,,,,,,,,49.0,,17.0,,,,,,,,,44.0,,12.0,,,,,,,,,41.0,,10.0,,,,,,,,,52.0,,21.0,,,,,,,,,45.0,21.0,22.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
31,15.0,,5.0,,,,,,,,,11.0,,1.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,10.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,9.0,,0.0,,,,,,,,,9.0,,1.0,,,,,,,,,7.0,5.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
32,15.0,,5.0,,,,,,,,,11.0,,1.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,10.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,9.0,,0.0,,,,,,,,,9.0,,1.0,,,,,,,,,7.0,5.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
33,15.0,,5.0,,,,,,,,,11.0,,1.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,10.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,9.0,,0.0,,,,,,,,,9.0,,1.0,,,,,,,,,7.0,5.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
34,68.0,,35.0,,,,,,,,,57.0,,24.0,,,,,,,,,18.0,14.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,44.0,,12.0,,,,,,,,,42.0,,9.0,,,,,,,,,43.0,,10.0,,,,,,,,,43.0,,11.0,,,,,,,,,38.0,,6.0,,,,,,,,,41.0,26.0,13.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
35,30.0,,14.0,,,,,,,,,26.0,,10.0,,,,,,,,,12.0,9.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,19.0,,4.0,,,,,,,,,20.0,,4.0,,,,,,,,,22.0,,6.0,,,,,,,,,19.0,,4.0,,,,,,,,,16.0,,1.0,,,,,,,,,17.0,13.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
36,58.0,,26.0,,,,,,,,,36.0,,3.0,,,,,,,,,12.0,10.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,35.0,,3.0,,,,,,,,,38.0,,5.0,,,,,,,,,36.0,,3.0,,,,,,,,,34.0,,2.0,,,,,,,,,38.0,,6.0,,,,,,,,,24.0,20.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
37,56.0,,34.0,,,,,,,,,50.0,,28.0,,,,,,,,,21.0,16.0,3.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,37.0,,16.0,,,,,,,,,35.0,,13.0,,,,,,,,,42.0,,20.0,,,,,,,,,38.0,,17.0,,,,,,,,,25.0,,4.0,,,,,,,,,21.0,14.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
38,15.0,,6.0,,,,,,,,,11.0,,2.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,7.0,,0.0,,,,,,,,,10.0,,1.0,,,,,,,,,10.0,,1.0,,,,,,,,,7.0,,0.0,,,,,,,,,10.0,,2.0,,,,,,,,,12.0,7.0,3.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
39,188.0,,88.0,,,,,,,,,129.0,,29.0,,,,,,,,,58.0,56.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,123.0,,24.0,,,,,,,,,118.0,,18.0,,,,,,,,,129.0,,29.0,,,,,,,,,117.0,,18.0,,,,,,,,,122.0,,23.0,,,,,,,,,,,,,,,,,,,
40,64.0,,30.0,,,,,,,,,54.0,,19.0,,,,,,,,,12.0,10.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,48.0,,14.0,,,,,,,,,,,,,,,,,,,,47.0,,12.0,,,,,,,,,47.0,,13.0,,,,,,,,,42.0,,8.0,,,,,,,,,,,,,,,,,,,
41,13.0,,5.0,,,,,,,,,10.0,,1.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,8.0,,1.0,,,,,,,,,10.0,,1.0,,,,,,,,,11.0,,2.0,,,,,,,,,7.0,,0.0,,,,,,,,,8.0,,1.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
42,56.0,,30.0,,,,,,,,,41.0,,15.0,,,,,,,,,14.0,11.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,30.0,,5.0,,,,,,,,,31.0,,5.0,,,,,,,,,35.0,,9.0,,,,,,,,,29.0,,4.0,,,,,,,,,31.0,,6.0,,,,,,,,,29.0,15.0,12.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
43,243.0,,131.0,,,,,,,,,162.0,,48.0,,,,,,,,,31.0,29.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,149.0,,36.0,,,,,,,,,150.0,,36.0,,,,,,,,,,,,,,,,,,,,146.0,,33.0,,,,,,,,,142.0,,29.0,,,,,,,,,181.0,93.0,86.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
44,111.0,,49.0,,,,,,,,,77.0,,15.0,,,,,,,,,24.0,22.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,76.0,,15.0,,,,,,,,,76.0,,14.0,,,,,,,,,79.0,,17.0,,,,,,,,,74.0,,13.0,,,,,,,,,72.0,,11.0,,,,,,,,,79.0,52.0,25.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
45,15.0,,5.0,,,,,,,,,11.0,,1.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,10.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,9.0,,0.0,,,,,,,,,9.0,,1.0,,,,,,,,,9.0,6.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
46,51.0,,26.0,,,,,,,,,44.0,,19.0,,,,,,,,,17.0,13.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,34.0,,10.0,,,,,,,,,38.0,,13.0,,,,,,,,,35.0,,10.0,,,,,,,,,33.0,,9.0,,,,,,,,,28.0,,4.0,,,,,,,,,28.0,15.0,11.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
47,15.0,,7.0,,,,,,,,,10.0,,1.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,2.0,,,,,,,,,11.0,,2.0,,,,,,,,,12.0,,3.0,,,,,,,,,8.0,,1.0,,,,,,,,,11.0,,3.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
48,46.0,,20.0,,,,,,,,,35.0,,9.0,,,,,,,,,12.0,10.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,32.0,,7.0,,,,,,,,,34.0,,8.0,,,,,,,,,34.0,,8.0,,,,,,,,,32.0,,7.0,,,,,,,,,26.0,,2.0,,,,,,,,,32.0,16.0,14.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
49,81.0,,44.0,,,,,,,,,64.0,,27.0,,,,,,,,,12.0,9.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,,,,,,,,,,,,53.0,,16.0,,,,,,,,,,,,,,,,,,,,75.0,,45.0,,,,,,,,,54.0,,18.0,,,,,,,,,,,,,,,,,,,
50,25.0,,11.0,,,,,,,,,17.0,,3.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,15.0,,3.0,,,,,,,,,17.0,,3.0,,,,,,,,,17.0,,3.0,,,,,,,,,14.0,,2.0,,,,,,,,,14.0,,1.0,,,,,,,,,16.0,8.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
51,42.0,,22.0,,,,,,,,,37.0,,17.0,,,,,,,,,31.0,14.0,15.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,38.0,,19.0,,,,,,,,,40.0,,20.0,,,,,,,,,37.0,,17.0,,,,,,,,,38.0,,19.0,,,,,,,,,35.0,,16.0,,,,,,,,,27.0,11.0,14.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
52,527.0,,264.0,,,,,,,,,449.0,,186.0,,,,,,,,,53.0,51.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,363.0,,101.0,,,,,,,,,360.0,,97.0,,,,,,,,,461.0,,204.0,,,,,,,,,356.0,,94.0,,,,,,,,,364.0,,102.0,,,,,,,,,,,,,,,,,,,
53,68.0,,33.0,,,,,,,,,49.0,,14.0,,,,,,,,,20.0,17.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,41.0,,7.0,,,,,,,,,43.0,,8.0,,,,,,,,,,,,,,,,,,,,40.0,,6.0,,,,,,,,,44.0,,10.0,,,,,,,,,35.0,20.0,13.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
54,8.0,,3.0,,,,,,,,,7.0,,4.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,7.0,,6.0,,,,,,,,,8.0,,5.0,,,,,,,,,8.0,,7.0,,,,,,,,,6.0,,5.0,,,,,,,,,9.0,,7.0,,,,,,,,,5.0,2.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
55,47.0,,23.0,,,,,,,,,37.0,,13.0,,,,,,,,,15.0,12.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,30.0,,7.0,,,,,,,,,33.0,,9.0,,,,,,,,,30.0,,6.0,,,,,,,,,30.0,,7.0,,,,,,,,,30.0,,7.0,,,,,,,,,26.0,19.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
56,16.0,,6.0,,,,,,,,,12.0,,2.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,12.0,,3.0,,,,,,,,,13.0,,3.0,,,,,,,,,15.0,,5.0,,,,,,,,,11.0,,2.0,,,,,,,,,12.0,,3.0,,,,,,,,,8.0,5.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
57,54.0,,19.0,,,,,,,,,38.0,,3.0,,,,,,,,,10.0,8.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,35.0,,1.0,,,,,,,,,37.0,,2.0,,,,,,,,,37.0,,2.0,,,,,,,,,35.0,,1.0,,,,,,,,,38.0,,5.0,,,,,,,,,42.0,25.0,11.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
58,180.0,,89.0,,,,,,,,,144.0,,53.0,,,,,,,,,26.0,24.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,106.0,,16.0,,,,,,,,,109.0,,18.0,,,,,,,,,114.0,,23.0,,,,,,,,,110.0,,20.0,,,,,,,,,117.0,,27.0,,,,,,,,,,,,,,,,,,,
59,84.0,,43.0,,,,,,,,,62.0,,21.0,,,,,,,,,25.0,22.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,53.0,,13.0,,,,,,,,,55.0,,14.0,,,,,,,,,62.0,,21.0,,,,,,,,,56.0,,16.0,,,,,,,,,54.0,,14.0,,,,,,,,,,,,,,,,,,,
60,210.0,,100.0,,,,,,,,,151.0,,41.0,,,,,,,,,42.0,40.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,142.0,,33.0,,,,,,,,,136.0,,26.0,,,,,,,,,143.0,,33.0,,,,,,,,,136.0,,27.0,,,,,,,,,134.0,,25.0,,,,,,,,,125.0,83.0,40.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
61,84.0,,46.0,,,,,,,,,69.0,,29.0,,,,,,,,,35.0,23.0,10.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,58.0,,19.0,,,,,,,,,,,,,,,,,,,,67.0,,27.0,,,,,,,,,65.0,,28.0,,,,,,,,,57.0,,20.0,,,,,,,,,70.0,34.0,32.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
