QID,POM-Struc-Total-Dist,POM-Struc-Cont-Dist,POM-Struc-Pres-Dist,POM-Histo-Abs-Dist,POM-Histo-Rel-Dist,POM-Histo-Cos-Dist,POM-Histo-EarthMov-Dist,POM-Content-Histo-Abs-Dist,POM-Content-Histo-Rel-Dist,POM-Content-Histo-Cos-Dist,POM-Content-Histo-EarthMov-Dist,SnuggleTeX-Struc-Total-Dist,SnuggleTeX-Struc-Cont-Dist,SnuggleTeX-Struc-Pres-Dist,SnuggleTeX-Histo-Abs-Dist,SnuggleTeX-Histo-Rel-Dist,SnuggleTeX-Histo-Cos-Dist,SnuggleTeX-Histo-EarthMov-Dist,SnuggleTeX-Content-Histo-Abs-Dist,SnuggleTeX-Content-Histo-Rel-Dist,SnuggleTeX-Content-Histo-Cos-Dist,SnuggleTeX-Content-Histo-EarthMov-Dist,LatexML-Struc-Total-Dist,LatexML-Struc-Cont-Dist,LatexML-Struc-Pres-Dist,LatexML-Histo-Abs-Dist,LatexML-Histo-Rel-Dist,LatexML-Histo-Cos-Dist,LatexML-Histo-EarthMov-Dist,LatexML-Content-Histo-Abs-Dist,LatexML-Content-Histo-Rel-Dist,LatexML-Content-Histo-Cos-Dist,LatexML-Content-Histo-EarthMov-Dist,Mathematical-Struc-Total-Dist,Mathematical-Struc-Cont-Dist,Mathematical-Struc-Pres-Dist,Mathematical-Histo-Abs-Dist,Mathematical-Histo-Rel-Dist,Mathematical-Histo-Cos-Dist,Mathematical-Histo-EarthMov-Dist,Mathematical-Content-Histo-Abs-Dist,Mathematical-Content-Histo-Rel-Dist,Mathematical-Content-Histo-Cos-Dist,Mathematical-Content-Histo-EarthMov-Dist,MathToWeb-Struc-Total-Dist,MathToWeb-Struc-Cont-Dist,MathToWeb-Struc-Pres-Dist,MathToWeb-Histo-Abs-Dist,MathToWeb-Histo-Rel-Dist,MathToWeb-Histo-Cos-Dist,MathToWeb-Histo-EarthMov-Dist,MathToWeb-Content-Histo-Abs-Dist,MathToWeb-Content-Histo-Rel-Dist,MathToWeb-Content-Histo-Cos-Dist,MathToWeb-Content-Histo-EarthMov-Dist,Latex2MML-Struc-Total-Dist,Latex2MML-Struc-Cont-Dist,Latex2MML-Struc-Pres-Dist,Latex2MML-Histo-Abs-Dist,Latex2MML-Histo-Rel-Dist,Latex2MML-Histo-Cos-Dist,Latex2MML-Histo-EarthMov-Dist,Latex2MML-Content-Histo-Abs-Dist,Latex2MML-Content-Histo-Rel-Dist,Latex2MML-Content-Histo-Cos-Dist,Latex2MML-Content-Histo-EarthMov-Dist,TeXZilla-Struc-Total-Dist,TeXZilla-Struc-Cont-Dist,TeXZilla-Struc-Pres-Dist,TeXZilla-Histo-Abs-Dist,TeXZilla-Histo-Rel-Dist,TeXZilla-Histo-Cos-Dist,TeXZilla-Histo-EarthMov-Dist,TeXZilla-Content-Histo-Abs-Dist,TeXZilla-Content-Histo-Rel-Dist,TeXZilla-Content-Histo-Cos-Dist,TeXZilla-Content-Histo-EarthMov-Dist,Mathoid-Struc-Total-Dist,Mathoid-Struc-Cont-Dist,Mathoid-Struc-Pres-Dist,Mathoid-Histo-Abs-Dist,Mathoid-Histo-Rel-Dist,Mathoid-Histo-Cos-Dist,Mathoid-Histo-EarthMov-Dist,Mathoid-Content-Histo-Abs-Dist,Mathoid-Content-Histo-Rel-Dist,Mathoid-Content-Histo-Cos-Dist,Mathoid-Content-Histo-EarthMov-Dist,Mathematica-Struc-Total-Dist,Mathematica-Struc-Cont-Dist,Mathematica-Struc-Pres-Dist,Mathematica-Histo-Abs-Dist,Mathematica-Histo-Rel-Dist,Mathematica-Histo-Cos-Dist,Mathematica-Histo-EarthMov-Dist,Mathematica-Content-Histo-Abs-Dist,Mathematica-Content-Histo-Rel-Dist,Mathematica-Content-Histo-Cos-Dist,Mathematica-Content-Histo-EarthMov-Dist
283,16.0,,6.0,,,,,,,,,14.0,,4.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,9.0,,0.0,,,,,,,,,11.0,,1.0,,,,,,,,,13.0,,3.0,,,,,,,,,10.0,,1.0,,,,,,,,,12.0,,4.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
284,21.0,,10.0,,,,,,,,,18.0,,7.0,,,,,,,,,13.0,6.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,15.0,,5.0,,,,,,,,,17.0,,6.0,,,,,,,,,17.0,,6.0,,,,,,,,,15.0,,5.0,,,,,,,,,15.0,,6.0,,,,,,,,,14.0,7.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
285,81.0,,40.0,,,,,,,,,56.0,,15.0,,,,,,,,,20.0,18.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,,,,,,,,,,,,50.0,,9.0,,,,,,,,,69.0,,29.0,,,,,,,,,56.0,,16.0,,,,,,,,,45.0,,5.0,,,,,,,,,88.0,38.0,48.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
286,156.0,,77.0,,,,,,,,,123.0,,44.0,,,,,,,,,39.0,36.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,110.0,,32.0,,,,,,,,,104.0,,25.0,,,,,,,,,,,,,,,,,,,,109.0,,31.0,,,,,,,,,105.0,,27.0,,,,,,,,,173.0,76.0,95.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
287,122.0,,48.0,,,,,,,,,90.0,,16.0,,,,,,,,,26.0,14.0,10.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,116.0,,43.0,,,,,,,,,87.0,,13.0,,,,,,,,,,,,,,,,,,,,128.0,,55.0,,,,,,,,,117.0,,48.0,,,,,,,,,126.0,70.0,54.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
288,20.0,,7.0,,,,,,,,,15.0,,2.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,12.0,,0.0,,,,,,,,,14.0,,1.0,,,,,,,,,16.0,,3.0,,,,,,,,,12.0,,0.0,,,,,,,,,13.0,,1.0,,,,,,,,,21.0,10.0,9.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
289,69.0,,31.0,,,,,,,,,50.0,,12.0,,,,,,,,,16.0,14.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,45.0,,8.0,,,,,,,,,45.0,,7.0,,,,,,,,,46.0,,8.0,,,,,,,,,44.0,,7.0,,,,,,,,,40.0,,4.0,,,,,,,,,76.0,35.0,39.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
290,55.0,,29.0,,,,,,,,,53.0,,27.0,,,,,,,,,10.0,7.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,37.0,,12.0,,,,,,,,,40.0,,14.0,,,,,,,,,44.0,,18.0,,,,,,,,,40.0,,15.0,,,,,,,,,38.0,,13.0,,,,,,,,,66.0,22.0,42.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
291,22.0,,9.0,,,,,,,,,18.0,,5.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,15.0,,3.0,,,,,,,,,17.0,,4.0,,,,,,,,,17.0,,4.0,,,,,,,,,15.0,,3.0,,,,,,,,,11.0,,0.0,,,,,,,,,23.0,10.0,11.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
292,175.0,,98.0,,,,,,,,,209.0,,169.0,,,,,,,,,22.0,20.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,,,,,,,,,,,,123.0,,46.0,,,,,,,,,,,,,,,,,,,,126.0,,50.0,,,,,,,,,118.0,,42.0,,,,,,,,,197.0,73.0,122.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
293,51.0,,24.0,,,,,,,,,36.0,,9.0,,,,,,,,,14.0,12.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,33.0,,7.0,,,,,,,,,35.0,,8.0,,,,,,,,,35.0,,8.0,,,,,,,,,33.0,,7.0,,,,,,,,,26.0,,1.0,,,,,,,,,54.0,24.0,28.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
294,60.0,,28.0,,,,,,,,,44.0,,12.0,,,,,,,,,12.0,10.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,42.0,,11.0,,,,,,,,,43.0,,11.0,,,,,,,,,44.0,,12.0,,,,,,,,,42.0,,11.0,,,,,,,,,41.0,,10.0,,,,,,,,,62.0,28.0,32.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
295,62.0,,30.0,,,,,,,,,51.0,,19.0,,,,,,,,,14.0,12.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,38.0,,7.0,,,,,,,,,38.0,,6.0,,,,,,,,,45.0,,13.0,,,,,,,,,37.0,,6.0,,,,,,,,,43.0,,12.0,,,,,,,,,72.0,29.0,41.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
296,128.0,,67.0,,,,,,,,,107.0,,46.0,,,,,,,,,38.0,32.0,4.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,84.0,,24.0,,,,,,,,,86.0,,25.0,,,,,,,,,84.0,,23.0,,,,,,,,,80.0,,20.0,,,,,,,,,66.0,,6.0,,,,,,,,,143.0,57.0,84.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
297,49.0,,23.0,,,,,,,,,28.0,,2.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,25.0,,0.0,,,,,,,,,59.0,,33.0,,,,,,,,,37.0,,11.0,,,,,,,,,25.0,,0.0,,,,,,,,,24.0,,0.0,,,,,,,,,68.0,23.0,43.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
298,137.0,,60.0,,,,,,,,,94.0,,16.0,,,,,,,,,34.0,32.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,91.0,,14.0,,,,,,,,,92.0,,14.0,,,,,,,,,94.0,,16.0,,,,,,,,,92.0,,15.0,,,,,,,,,89.0,,12.0,,,,,,,,,152.0,74.0,76.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
299,26.0,,13.0,,,,,,,,,22.0,,9.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,15.0,,3.0,,,,,,,,,16.0,,3.0,,,,,,,,,17.0,,4.0,,,,,,,,,16.0,,4.0,,,,,,,,,13.0,,1.0,,,,,,,,,26.0,10.0,14.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
300,30.0,,13.0,,,,,,,,,22.0,,5.0,,,,,,,,,10.0,8.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,19.0,,3.0,,,,,,,,,21.0,,4.0,,,,,,,,,21.0,,4.0,,,,,,,,,19.0,,3.0,,,,,,,,,16.0,,1.0,,,,,,,,,30.0,14.0,14.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
301,49.0,,26.0,,,,,,,,,39.0,,16.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,33.0,,11.0,,,,,,,,,32.0,,9.0,,,,,,,,,38.0,,15.0,,,,,,,,,32.0,,10.0,,,,,,,,,36.0,,14.0,,,,,,,,,,,,,,,,,,,
302,91.0,,46.0,,,,,,,,,65.0,,20.0,,,,,,,,,23.0,19.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,61.0,,17.0,,,,,,,,,61.0,,16.0,,,,,,,,,62.0,,17.0,,,,,,,,,59.0,,15.0,,,,,,,,,61.0,,17.0,,,,,,,,,,,,,,,,,,,
