Converter, Duration, Exceptions
POM, PT3.688S, 3
SnuggleTeX, PT1.793S, 0
LatexML, PT6M12.761S, 0
Mathematical, PT20.767S, 0
MathToWeb, PT4.165S, 0
Latex2MML, PT9.565S, 13
Mathoid, PT29.650S, 0
TeXZilla, PT1.411S, 0
